num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
28,20,104,6,17,8,25,48,82,88,none,19.77
9,14,17,11,15,17,21,22,56,50,lz4,16.2
14,17,51,14,13,11,1,49,56,5,none,16.15
4,9,19,20,15,11,21,21,55,73,lz4,16.08
11,10,5,9,17,7,20,17,58,28,lz4,16.05
16,12,12,8,15,10,14,12,50,54,none,15.95
20,12,102,7,10,13,14,23,53,25,none,15.49
17,3,93,1,9,21,23,12,43,13,lz4,15.29
11,4,6,8,12,7,15,25,39,52,snappy,14.98
19,14,80,17,10,3,29,40,57,29,lz4,14.93
5,6,15,12,9,7,12,8,35,47,lz4,14.92
16,6,82,1,7,18,20,16,42,10,lz4,14.92
14,16,13,10,9,14,22,42,41,77,snappy,14.64
9,11,21,6,7,4,7,9,32,22,lz4,14.05
10,3,6,6,7,4,11,6,28,24,snappy,13.81
8,9,16,11,6,3,10,20,17,26,lz4,12.4
