num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
22,10,12,19,19,22,7,34,34,71,none,61.76
12,8,14,10,9,6,28,26,40,59,none,57.76
22,6,71,14,16,7,25,51,32,43,none,56.42
10,15,99,24,12,9,26,40,42,56,none,56.18
13,9,8,15,11,17,22,47,52,57,none,56.02
13,6,25,6,14,10,16,4,21,47,none,55.89
18,6,71,15,15,2,21,41,26,44,none,55.5
6,14,80,16,12,7,24,29,40,57,none,55.14
17,7,17,15,20,21,4,4,36,62,none,53.89
12,6,79,2,11,7,15,16,56,14,none,53.7
13,4,57,5,11,2,23,14,62,27,none,53.27
17,6,84,4,10,10,14,23,55,9,none,53.16
11,10,11,10,9,5,23,32,35,52,none,52.79
20,15,26,17,14,17,14,34,26,87,none,52.24
16,2,35,6,14,16,24,12,47,31,none,51.9
12,3,74,6,13,13,19,9,73,36,none,51.74
