num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,13,51,19,1,4,8,46,40,39,snappy,17.75
8,9,6,13,7,4,8,11,55,76,none,48.15
15,10,82,17,17,12,24,31,22,28,lz4,45.45
17,11,28,4,17,3,18,12,47,61,gzip,7.78
9,7,26,10,9,19,23,41,50,21,none,50.82
16,3,26,16,11,5,6,35,38,1,gzip,8.22
14,14,24,7,9,8,3,31,3,64,gzip,8.5
7,9,97,20,16,15,2,39,20,61,snappy,40.49
3,17,96,18,19,14,24,48,32,93,lz4,47.14
20,3,45,9,8,4,26,14,29,39,lz4,45.17
19,7,69,4,13,6,24,47,24,41,lz4,49.98
17,14,61,16,2,15,10,35,48,74,none,34.54
6,9,96,10,16,2,11,1,10,60,snappy,35.97
9,15,68,3,2,13,24,47,34,92,lz4,35.64
19,23,9,13,17,13,9,11,16,12,snappy,40.47
14,23,12,17,6,17,7,39,18,28,snappy,39.63
18,3,19,16,13,20,22,29,23,15,none,49.02
5,16,27,9,18,3,9,3,10,30,lz4,42.02
17,12,66,7,17,1,12,11,2,86,none,26.83
15,24,49,6,8,11,27,46,53,8,gzip,7.8
14,22,98,19,8,10,22,23,26,64,gzip,7.69
16,22,25,12,7,8,30,22,25,99,gzip,7.89
11,12,70,2,7,16,15,8,29,75,none,47.01
11,12,72,13,11,15,2,10,16,48,snappy,39.07
14,16,86,20,18,1,7,48,50,14,none,48.32
17,22,64,15,6,18,6,20,4,70,gzip,8.53
2,18,29,11,7,1,10,33,7,23,lz4,31.91
16,13,13,2,12,8,30,11,33,47,none,48.56
18,24,88,13,16,2,11,34,33,14,none,50.46
2,17,85,20,4,1,14,8,40,28,lz4,38.23
12,12,7,18,12,14,5,28,27,48,lz4,46.2
4,5,17,4,2,16,17,39,19,29,lz4,34.49
8,3,37,8,17,17,7,5,58,38,none,50.51
6,9,19,20,9,20,19,31,54,42,snappy,31.53
10,8,88,11,9,14,22,16,51,46,gzip,7.86
17,24,84,6,14,11,7,8,9,69,snappy,37.86
7,17,21,20,7,17,5,19,23,54,none,47.05
13,24,38,10,19,20,5,9,42,24,lz4,45.83
7,19,59,4,10,12,6,34,15,21,none,49.62
13,24,17,17,14,8,14,14,55,99,gzip,7.91
3,17,58,12,4,7,12,15,45,19,gzip,7.54
17,22,69,6,16,4,2,17,21,29,lz4,44.31
15,24,89,18,14,12,26,48,34,9,snappy,44.22
7,13,94,13,10,9,3,2,9,26,gzip,8.2
13,15,61,13,9,10,5,9,10,45,snappy,38.42
7,12,77,14,3,7,22,42,64,5,gzip,7.67
16,4,67,4,16,10,22,8,41,9,lz4,46.69
15,21,13,15,4,20,5,17,58,9,snappy,39.16
7,23,23,5,1,9,14,17,18,3,lz4,19.78
20,4,97,2,19,16,24,21,64,90,none,50.02
5,5,41,13,12,17,17,44,19,82,none,49.9
11,2,41,2,20,14,26,19,54,28,lz4,44.86
6,8,97,1,8,13,27,39,49,24,snappy,42.45
11,14,35,12,11,6,15,14,53,9,gzip,7.8
3,22,81,11,11,1,16,7,21,15,gzip,7.91
7,14,69,5,8,19,9,17,34,71,snappy,43.37
3,6,83,14,18,4,1,26,8,51,snappy,33.42
11,8,34,12,16,7,21,12,12,96,gzip,7.93
12,4,8,14,13,16,17,19,36,53,lz4,46.61
15,16,69,9,16,9,2,30,64,41,gzip,8.06
15,7,37,1,12,14,7,44,18,27,lz4,44.31
12,10,98,5,8,9,15,20,26,56,snappy,42.72
9,2,28,17,7,13,3,14,13,39,none,46.18
4,9,41,20,19,5,4,30,31,33,none,46.84
4,22,28,20,14,11,18,16,16,94,gzip,7.94
5,6,96,10,6,18,6,29,29,35,snappy,41.69
7,20,45,8,3,15,6,22,37,2,lz4,38.45
12,3,30,9,19,13,15,43,40,71,snappy,43.93
14,15,82,1,16,7,6,27,37,9,gzip,7.77
4,20,5,2,19,18,22,27,8,53,lz4,23.9
14,11,24,13,14,5,30,37,61,91,none,49.37
8,20,92,4,19,13,18,13,38,70,snappy,40.81
13,16,22,17,7,6,3,38,14,93,gzip,7.88
2,3,26,9,20,4,4,7,11,67,gzip,7.98
19,23,66,7,14,4,15,5,64,62,gzip,7.91
9,23,89,6,18,2,9,21,1,11,none,16.27
20,11,100,19,20,3,11,15,33,11,gzip,7.39
10,9,89,13,3,12,20,34,8,73,snappy,33.47
5,11,47,19,19,20,28,14,24,69,gzip,7.77
2,4,28,19,18,7,28,23,55,71,snappy,42
6,2,55,12,1,5,29,29,52,71,lz4,20.78
14,13,56,16,16,10,2,34,29,59,gzip,7.85
8,21,92,19,2,17,24,5,47,67,none,34.37
8,9,57,20,11,14,15,4,46,6,none,51.47
11,16,70,10,9,5,26,42,12,18,lz4,42.61
14,5,78,20,16,5,13,6,2,53,none,27.12
12,22,63,13,2,13,22,25,35,80,snappy,33.45
16,20,18,16,8,3,24,1,62,36,lz4,40.83
4,19,1,5,16,8,30,3,7,70,gzip,8.24
11,10,58,4,2,19,23,47,11,39,none,41.13
17,11,17,20,3,2,26,6,45,28,snappy,36.24
20,14,21,15,1,19,22,43,24,88,snappy,22.77
4,18,25,15,14,10,27,21,34,12,gzip,7.67
15,3,42,3,13,18,29,36,46,3,none,54.49
17,8,37,18,13,19,9,41,28,42,lz4,46.21
8,21,56,7,15,19,4,36,54,64,lz4,29.66
7,21,64,18,19,1,5,28,33,64,none,52.23
13,13,63,17,16,13,2,30,60,100,snappy,44.44
5,18,95,11,14,3,13,10,6,51,gzip,7.98
3,16,43,15,8,15,3,7,57,50,none,51.37
3,20,4,14,11,8,16,10,22,92,gzip,7.82
19,16,86,18,3,1,13,23,58,90,snappy,42.24
8,14,23,4,5,16,13,18,22,17,snappy,41.11
4,14,54,1,13,8,11,21,31,6,snappy,43.24
16,23,73,9,14,14,26,31,21,30,gzip,7.91
13,5,47,4,20,2,9,33,15,1,lz4,44.25
15,15,17,9,11,5,27,16,50,76,gzip,8.01
18,18,22,9,4,12,26,3,29,42,snappy,42.81
14,20,18,16,13,19,12,4,56,94,lz4,47.52
16,15,66,12,9,14,13,32,43,23,gzip,7.83
12,7,10,5,13,13,2,35,23,31,none,52.72
17,8,31,20,18,12,1,35,17,1,snappy,42.25
18,15,66,13,2,8,11,43,7,72,none,38.52
13,22,100,9,18,8,15,3,15,16,gzip,7.9
16,14,40,11,7,7,3,34,21,2,snappy,44.79
3,21,19,4,4,14,13,7,57,13,snappy,41.5
11,11,58,10,7,2,20,40,8,6,none,42.5
15,17,43,14,16,19,2,2,61,96,lz4,47.62
19,17,13,1,13,15,13,12,15,67,gzip,7.94
14,6,2,10,2,8,7,47,1,25,none,16.43
18,9,22,5,15,17,30,12,33,23,gzip,7.65
8,5,91,8,12,1,27,10,53,62,snappy,42.61
2,21,29,3,8,7,28,44,61,72,gzip,7.81
3,7,15,3,17,14,6,15,54,100,gzip,7.88
15,8,92,11,3,16,4,5,19,37,lz4,41.71
7,10,5,18,4,7,3,13,47,65,lz4,47.25
19,12,74,20,19,3,27,46,39,55,none,47.9
19,1,25,9,9,15,18,19,62,8,lz4,47.5
3,14,77,3,12,8,18,12,8,44,none,45.3
13,20,77,6,8,5,19,9,63,2,snappy,43.81
15,4,17,13,18,10,29,41,47,16,gzip,7.72
12,23,27,11,14,19,2,34,6,20,snappy,36.05
17,21,98,18,7,7,21,4,13,13,gzip,7.83
1,13,39,9,14,6,4,42,29,67,none,48.21
13,4,18,15,15,16,17,28,38,37,none,54.65
19,20,10,8,20,17,25,42,8,56,gzip,8.27
17,10,38,6,7,8,23,41,49,94,snappy,46.98
13,16,56,6,11,11,21,40,7,89,gzip,8.25
11,13,57,17,13,1,14,46,36,55,snappy,28.28
4,5,12,6,20,2,24,5,33,47,none,52.49
6,10,36,14,18,2,4,9,4,100,snappy,37.52
4,17,98,18,15,6,29,34,53,83,lz4,47.52
18,5,24,2,15,20,12,23,7,72,snappy,22.86
1,3,60,4,19,6,15,48,59,49,none,45.79
6,13,70,1,5,5,26,12,50,57,lz4,24.3
4,18,62,20,6,5,12,17,2,29,gzip,8.63
