num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
9,10,73,3,9,12,10,34,8,3,gzip,7.78
15,5,32,3,6,0,8,41,33,95,gzip,8.34
9,18,36,2,14,9,16,39,13,2,gzip,8.55
3,13,64,19,8,19,6,9,49,39,gzip,7.83
8,21,13,6,10,17,0,9,6,74,none,44.68
6,12,36,18,0,16,6,8,30,10,snappy,24.57
5,6,98,16,6,14,22,18,15,7,lz4,44.95
6,4,11,18,1,10,0,20,10,11,none,43.01
6,20,49,11,12,6,26,19,13,79,none,56.42
1,10,40,1,2,12,7,40,55,24,gzip,8.14
12,17,28,6,1,12,7,14,0,31,gzip,8.02
15,4,20,17,6,9,19,40,51,95,none,56.28
19,0,14,9,9,6,16,40,29,42,none,51.04
7,1,53,5,1,19,12,13,40,93,none,41.11
17,13,80,10,17,0,1,15,54,49,snappy,34.54
13,8,97,7,11,10,28,35,7,90,none,47.38
14,8,72,15,10,3,28,1,8,94,lz4,41.75
4,10,12,8,2,19,8,16,36,15,gzip,7.5
2,23,38,8,4,15,11,38,5,13,snappy,36.97
19,5,54,3,6,9,14,42,11,78,snappy,40.47
18,20,49,11,12,5,19,19,51,56,none,54.15
