num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,5.16
17,21,48,6,20,1,26,12,51,63,lz4,12.12
19,17,37,1,4,11,12,46,53,22,gzip,2.62
14,19,61,18,14,17,12,16,62,77,gzip,2.64
17,2,16,10,9,10,12,1,30,41,none,10.48
5,19,28,19,7,8,11,15,59,19,snappy,11.85
4,4,75,5,13,12,1,16,31,4,none,10.47
17,23,50,11,3,12,12,27,33,14,snappy,10.51
7,14,92,10,7,4,15,30,30,1,gzip,2.86
16,13,62,8,2,18,17,23,56,66,snappy,11.2
9,8,39,10,8,13,2,39,6,44,none,6.51
6,21,51,14,6,7,4,6,44,19,lz4,12.42
5,17,92,16,18,17,18,18,64,92,lz4,12.54
14,18,80,11,11,11,9,37,22,84,lz4,11.44
4,21,95,16,4,17,24,3,36,19,none,10.41
14,17,55,18,17,11,15,35,34,56,snappy,12.07
6,19,96,16,13,11,12,8,29,97,none,10.53
8,13,16,4,12,2,16,31,47,83,none,10.69
9,21,52,16,9,17,25,5,53,67,lz4,13.32
10,19,71,15,3,5,18,39,12,79,gzip,2.79
14,4,25,16,19,1,7,26,50,56,none,10.73
5,17,30,20,20,7,24,38,26,86,lz4,11.83
4,11,48,11,14,5,30,5,57,51,lz4,13.02
5,10,36,9,9,13,3,18,3,20,snappy,5.41
14,2,32,12,10,8,2,33,57,65,lz4,13.2
18,7,25,4,15,8,24,47,11,46,snappy,8.96
4,18,83,17,16,4,4,48,57,6,lz4,12.97
16,18,61,19,7,8,28,9,16,18,lz4,10.58
8,1,78,20,2,12,18,41,57,74,lz4,11.85
12,1,29,2,7,17,21,39,11,16,none,8.37
5,23,15,17,20,2,13,40,57,2,lz4,12.88
8,22,45,6,19,18,8,14,59,99,lz4,12.53
16,19,9,18,3,7,4,18,43,37,lz4,11.38
17,20,61,6,8,10,2,21,26,20,none,10.34
3,9,36,18,2,19,22,19,42,48,lz4,10.98
18,15,79,6,6,7,21,27,14,89,snappy,9.69
15,1,50,18,3,16,16,12,33,17,lz4,10.98
11,23,63,8,10,15,26,42,52,77,lz4,13.39
5,24,76,18,7,10,26,9,50,7,lz4,12.28
1,3,26,7,20,9,24,33,24,23,gzip,2.68
18,3,19,18,19,13,23,15,36,45,lz4,12.81
12,19,24,7,15,4,5,42,27,64,snappy,11.48
7,3,38,18,5,2,18,3,44,3,lz4,11.63
15,23,41,10,9,18,9,11,56,37,lz4,13.36
1,5,60,11,6,8,28,13,8,1,snappy,8.9
16,23,37,11,18,6,25,17,55,2,lz4,13.07
1,20,63,16,20,9,12,34,48,39,snappy,12.65
6,23,14,13,15,9,18,8,53,39,lz4,12.12
