num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,16.3
16,4,46,4,8,1,1,34,41,74,none,20.62
5,1,26,15,10,10,2,24,46,10,lz4,17.51
17,13,81,15,15,4,2,23,33,46,gzip,2.55
4,23,37,12,7,5,3,31,46,20,snappy,16.01
4,3,76,17,4,6,4,21,7,18,none,17.16
12,16,98,1,1,19,4,29,42,23,snappy,13.06
7,10,83,15,5,2,5,44,19,71,snappy,16.18
3,14,33,2,9,19,6,1,11,77,gzip,2.76
15,11,72,18,14,4,7,7,44,42,none,19.91
11,2,43,18,8,15,7,31,36,47,snappy,16.22
13,7,59,10,15,12,8,28,2,26,lz4,12.48
19,9,10,2,7,10,9,10,52,7,snappy,16.2
6,19,91,7,15,17,10,8,62,66,gzip,2.69
3,20,17,5,12,14,10,19,37,93,gzip,2.68
13,13,55,13,6,7,11,46,34,2,lz4,17.56
1,16,44,16,1,11,12,5,57,82,gzip,2.65
11,12,79,5,19,10,13,47,31,54,none,19.97
2,15,40,13,12,16,13,5,4,30,lz4,14.17
9,8,51,14,9,14,14,36,16,16,none,20.22
16,17,66,9,11,2,15,38,57,55,none,19.99
