num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,5.61
9,7,83,4,3,19,1,27,25,68,gzip,2.66
16,22,44,16,4,9,1,5,28,51,none,9.95
4,11,78,17,1,19,2,33,15,65,lz4,8.26
19,22,28,6,12,17,3,4,21,21,none,10.08
10,14,32,18,6,6,4,13,60,91,none,11.12
12,1,63,16,8,5,5,44,24,43,lz4,11.79
18,8,81,7,14,3,5,41,55,27,snappy,12.16
13,4,69,17,17,15,6,4,49,58,none,11.77
15,18,88,3,16,8,7,15,1,36,none,2.29
17,13,61,6,10,11,7,11,31,7,gzip,2.56
12,3,9,8,15,2,8,30,6,42,snappy,7.07
7,12,66,14,9,16,9,21,53,17,lz4,13.32
11,20,15,8,9,14,9,8,47,48,snappy,12.67
14,2,39,14,1,10,10,18,29,53,lz4,9.51
12,18,51,19,17,13,11,15,3,76,gzip,2.95
1,18,1,3,7,4,12,29,57,25,gzip,2.6
16,21,72,7,6,7,12,46,15,97,lz4,10.2
17,14,6,15,5,12,13,22,43,78,snappy,11.89
4,10,17,1,12,14,14,36,51,61,gzip,2.63
