num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,39.26
8,15,80,18,16,19,1,8,6,96,none,44.77
3,3,93,11,18,13,2,17,48,40,lz4,47.27
18,14,17,12,3,4,2,2,61,70,gzip,7.93
17,4,40,1,1,2,3,18,15,81,lz4,28.07
16,2,4,14,12,10,3,28,2,37,none,29.27
4,4,23,17,3,11,4,44,25,19,gzip,7.64
6,9,72,5,2,4,5,21,18,47,lz4,40.39
18,20,62,19,8,1,6,15,8,93,snappy,23.18
5,19,68,15,7,15,7,1,22,30,snappy,43.3
15,21,33,13,8,9,8,4,5,59,none,46.22
14,22,21,5,14,6,8,46,29,5,snappy,44.45
12,7,35,12,7,15,9,29,31,99,none,52.28
8,16,72,15,17,14,9,47,51,78,snappy,43.91
19,11,95,17,13,17,11,32,54,90,snappy,43.91
7,23,97,18,11,13,11,10,47,57,none,55.74
1,6,50,7,10,9,12,33,38,43,snappy,43.31
19,5,86,8,9,7,13,44,40,4,none,54.42
13,13,15,11,12,18,13,6,63,60,lz4,49.39
6,19,64,3,13,17,14,25,23,53,lz4,48.28
12,15,66,2,11,6,14,40,59,46,snappy,43.57
9,6,12,6,3,19,15,39,35,69,lz4,44.23
10,18,18,6,6,14,16,12,53,77,gzip,7.64
